RequestID,RequestDate,Status,City,Principal_Name_Ar,Principal_Name_En,Nationality
45324,3/21/2019,قائمة,الرياض,روميكس انترناشيونال,Rumex International Co,امريكي
45325,3/23/2019,قائمة,الرياض,شركة تعطيرة للعطور,Tatera Perfumes Company,كويتي
45326,3/24/2019,قائمة,الدمام,بيوانج تينجكسين اويلفيلد كيميكال كومباني ليمتد ,PUYANG CHENGXIN OILFIELD CHEMICAL CO. LTD.,الصين الشعبيه
45327,3/24/2019,قائمة,الرياض,شركة الكندية العالمية للاستثمار,International Canadian Company Investment,اردني
45328,3/25/2019,قائمة,الرياض,الراشد للتجارة ,AL-RASHID TRADING,باكستاني
45329,3/25/2019,قائمة,الرياض,هاي واي سبيشل كونستركشن سيستم إس.أي,Highhway Special Construction Systems S.A. ,يونانيه
45330,3/26/2019,قائمة,الدمام,شركة حمية التغذية التجارية شركة الشخص الواحد القابضة,,المملكة العربية السعودية
45331,3/26/2019,قائمة,الدمام,كومهو تايرز سي ,KUMHO TIRE CO,كوريه الجنوبيه
45332,3/26/2019,قائمة,الرياض,فلو ماقازا كالاك في بازارلاما انونام ساركيتا,Flo Magazacilik ve Pazarlama A.S.,تركي
45333,3/27/2019,قائمة,الرياض,دي ام دبليو كوربوريشن ,DMW CORPORATION ,ياباني
45334,3/28/2019,قائمة,جده,كابسا سوليوشن ال ال سي,CAPSA SOLUTIONS LLC,امريكي
45335,3/31/2019,قائمة,الدمام,اس تي اند اتش كوربوريشن ,ST&H CORPORATION ,كوريه الجنوبيه
45336,3/31/2019,قائمة,الرياض, ميدسيل جيه إس سي,MEDSIL JSC,روسيه
45337,3/31/2019,قائمة,الرياض,سورينتو هولدنغ اس اي ال كومبني,Sorrento Holding SAL Company,لبناني
45338,3/31/2019,قائمة,الدمام,إنوهوم,Innohome Oy,فنلنديه
45339,4/1/2019,قائمة,جده,ريوا هيلث المحدودة,RIWA HEALTH UG,الماني
45340,4/1/2019,قائمة,الرياض,تانيرميدكو إيه/إس,TannerMedico A/S,دنمركيه
45341,4/1/2019,قائمة,الرياض,ميدل انترناشونال سي ار اي,Medel International Srl,ايطالي
45342,4/1/2019,قائمة,الدمام,تشرشل دريلنق تولز رينتلز لميتد,CHURCHILL DRILLING TOOLS RENTALS LIMITED,اماراتي
45343,4/1/2019,قائمة,الرياض,شركة برياس ميديكال أي بي,Breas Medical AB,سويديه
45344,4/1/2019,قائمة,الرياض,شركة ألفا فاكتس هيلث سولوشنز بي إف بي إيه,ALPHAFACTS HEALTH SOLUTION BVBA,هندي
45345,4/1/2019,قائمة,جده,دايوه,DAIWHA,كوريه الجنوبيه
45346,4/1/2019,قائمة,الرياض,شركة جونيبر نتوركس انترناشونال,Juniper Networks International,هولندي
45347,4/1/2019,قائمة,الرياض,بلو لاين اس ار ال,Bleu Line S.R.L,ايطالي
45348,4/2/2019,قائمة,الرياض,شركة فرقد للتوريدات الغذائية ( ذ م م ),Farqad Food Supply Company,اردني
45349,4/2/2019,قائمة,الرياض,فورتي لاينز,Forty Lines,مصري
